Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	-228.818918916	123.869433318	-478.668667189	-81.8348105786	571.213885472	58.363990674	467.70803868	645.816409407
1	-1056.94925473	53.2107894801	-1149.78678068	-961.125959176	919.916685701	56.3077482512	796.518584672	994.025264153
2	-1206.02341177	58.0399964513	-1294.35540575	-1106.47449632	1053.39459135	42.5686898091	965.890482337	1106.35561212
3	-1333.93388255	52.6792390183	-1424.093129	-1258.85971069	1182.41677944	49.2129717943	1116.22706806	1270.54762175
4	-1423.46915602	80.2565486517	-1504.34755218	-1217.0521413	1264.77606323	69.5174713087	1101.71766725	1343.71273198
5	-1467.13493468	77.527017949	-1615.09217571	-1355.90383402	1296.14850435	79.8208634196	1162.86782609	1424.46016808
6	-1497.51590432	59.0259839293	-1591.55231002	-1378.67901649	1320.97396903	60.8809554822	1204.40566177	1421.64169303
7	-1503.29778687	67.9065241374	-1599.71640855	-1371.94137639	1313.09272086	64.389874264	1198.71768358	1406.11230708
8	-1535.94595957	49.7412671701	-1617.68299453	-1471.56343698	1362.26449319	45.0074269888	1300.47207582	1440.98877455
9	-1492.78525382	72.6594049918	-1623.62554755	-1398.45324026	1328.20494902	62.0282653379	1246.47913308	1423.13488933
10	-1579.92978273	59.3247731914	-1654.6552824	-1440.7564122	1397.00223917	54.5857164973	1266.53969916	1468.36526549
11	-1552.99831107	58.4460707584	-1647.96963897	-1459.57957181	1369.2315387	58.3028517631	1275.82922603	1471.52904762
12	-1530.07153108	101.026775962	-1689.7651861	-1362.67245141	1347.46270944	95.8048004708	1209.42515734	1497.84389096
13	-1529.07367578	41.6584853124	-1585.71056669	-1453.44142685	1358.58795619	54.906883857	1258.14983139	1424.70980509
14	-1576.18296931	69.6044159895	-1664.31543713	-1449.48359779	1400.18794196	73.8366304079	1282.15749089	1504.50138269
